,star_name,distance,radius,mass,lum
0,Sun,0.000015813,1,1,1
1,Sirius,0008.6,1.71´,2.1,25.4
2,Canopus,0310,71,15,"13,500"
3,Alpha Centauri,0004.4,1.2,1.1,2
4,Arcturus,0037,26,1.1,170
5,Vega,0025,2.7,2.2,50
6,Capella,0043,12,2.6,150
7,Rigel,0860,78.9,23,"120,000"
8,Procyon,0011.4,1.9,1.5,7.7
9,Betelgeuse,0640[1],950,20,"60,000"
10,Achernar,0144,9.3,6.7,"3,000"
11,Hadar,0390,8.6,10.5,"42,000"
12,Altair,0017,1.8,1.8,10.5
13,Acrux,0320,8.9,18,"25,000"
14,Aldebaran,0065,44,1.5,520
15,Antares,0600,680,12,"75,000"
16,Spica,0260,7.47,11.43,"20,512"
17,Pollux,0034,8.8,1.9,43
18,Fomalhaut,0025,1.8,1.9,16.6
19,Deneb,"2,600",203,19,"200,000"
20,Mimosa,0350,8.4,16,"34,000"
21,Regulus,0077,3.1,3.8,290
22,Adhara,0430,14,12.5,"39,000"
23,Shaula,0700,8.8,14.5,"36,000"
24,Castor,0052,2.4,2.8,30
25,Gacrux,0088,84,1.5,820
26,Bellatrix,0240,5.8,8.6,"9,200"
27,Elnath,0130,4.2,5.0,700
28,Miaplacidus,0110,6.8,3.5,290
29,Alnilam,"2,000",42,32,"380,000"
30,Gamma Velorum,"01,100",6,9.0,"170,000"
31,Alnair,0101,3.4,4.0,260
32,Alioth,0081,4.2,2.9,110
33,Alnitak,01050,20,33,"120,000"
34,Dubhe,0120,30,4.25,300
35,Mirfak,0590,68,8.5,"5,000"
36,Wezen,"1,600",200,17,"82,000"
37,Sargas,0270,26,5.7,"1,800"
38,Kaus Australis,0140,6.8,3.5,360
39,Avior,0630,130,9.0,"60,000"
40,Alkaid,0104,3.4,6.1,"1,350"
41,Menkalinan,081,2.77,2.39,50
42,Atria,0390,92,7,"5,500"
43,Alhena,0109,3.3,2.8,120
44,Peacock,0180,4.8,5.9,"2,200"
45,Alsephina[2],0080,2.9,2.4,90
46,Mirzam,0500,10,13.5,"27,000"
47,Polaris,0430,39,5.4,"2,500"
48,Alphard,0180,50,3.0,780
49,Mintaka,01200,16.5,24,"190,000"
50,Scheat,0196,95,2.1,"1,500"
51,Almaaz,0653,140,15,"43,000"
52,Rasalgethi,0360,280,2.8,"8,300"
53,Tau Ceti,011.9,0.893,0.783,0.52
54,Delta Pavonis,019.92,1.22,0.991,1.22
55,Ran,010.48,0.74,0.82,0.34
56,V382 Carinae,"08,900",485,20,"212,000"
57,Eta Carinae,"07,500",60–881,100,"5,000,000"
58,Delta Cephei,0887,44.5,4.5,"2,000"
59,Mu Cephei,"06,000",972,19.2,"135,000"
60,Titawin,044.25,1.48,1.27,3.57
61,Rho Cassiopeiae,"08,154",636-981,22,"347,000 - 530,000"
62,P Cygni,"05,545",76,30,"610,000"
63,La Superba,"01,000",129 - 342,,"2,472 - 5,800"
64,VV Cephei,"04,900","516 - 1,050",18.2,"200,000"
65,61 Cygni,011.41,0.665,0.7,0.153
66,R Doradus,0178,298,0.7 - 1.0,"4,350"
67,Polaris Australis,0281,3.74,1.59,38
68,R Coronae Borealis,"04,566",85,0.85,"10,000"
69,54 Piscium,036.1,0.94,0.76,0.52
70,Mira,0300,370,1.2,"9,000"
71,RW Cephei,"014,000","1,158",13.9,"417,000"
72,Lacaille 8760,012.87,0.51,0.6,0.072
73,V838 Monocerotis,"019,896",380 - 750,?,"15,000"
74,HD 140283,0190,1.4,?,3.83
75,II Pegasi,0130,3.4,0.8,1.06
76,VY Canis Majoris,"03,900","1,420",17,"178,000 - 270,000"
77,Pistol Star,"025,000",320,100,"1,700,000"
78,S Doradus,"0169,000",380,24,"910,000"
79,UY Scuti,"05,100",755,7–10,"86,300 - 87,100"
80,Barnard's Star,05.98,0.20,0.14,0.0035
81,Luhman 16,06.52,?,0.04,?
82,Proxima Centauri,04.25,0.15,0.12,0.0017
83,KIC 8462852,"01,470",1.58,1.43,4.68
84,R136a1,"0163,000",32,290,"8,710,000"
85,Melnick 42,"0163,000",21.1,189,"3,600,000"
86,WR 102,"018,134",0.39,19,"282,000"
87,VFTS 352,"0164,000",14.47,57.48,"330,000"
88,YBP 1194,"02,772",0.99,1.01,0.98
89,Gliese 1214,047.5,0.21,0.16,0.0033
90,NML Cygni,"05,251","1,640 - 2,770",50,"229,000"
91,VB 10,018.72,0.10,0.075,0.0004
92,WOH G64,"0163,000","1,540 - 1,730",<20,"340-589,000"
93,TRAPPIST-1,039.6,0.12,0.089,0.0005
94,2MASS J0523-1403,040.3,0.086,0.07,0.00013
95,WISE 0855−0714,07.27,?,0.003,?
96,Icarus,"014,400,000,000",?,33,"850,000"
